RIO DE JANEIRO- RJ
"-22.90277778,-43.2075,A SORTE CHAMA,7074,R CONDE DE BONFIM,20520053,RIO DE JANEIRO,3253-0015,undefined,21"
",-22.84330556,-43.25152778,COPA 90 LOT,2292,RUA GERSON FERREIRA,21030152,RIO DE JANEIRO,9665-6430,undefined,21"
",-22.87938889,-43.29486111,CORRIDA PARA A FORTUNA,12592,AV. JOAO RIBEIRO,20750092,RIO DE JANEIRO,3276-2006,undefined,21"
",-22.88611111,-43.43638889,CRAQUE DO JOGO,13873,Rua dos Limitis,21715150,RIO DE JANEIRO,3337-4445,undefined,21"
",-22.8475,-43.28386111,CRUZEIRO DA SORTE,6975,ESTRADA JOSE RUCAS,21070370,RIO DE JANEIRO,3564-0510,undefined,21"
",-22.91555556,-43.23138889,CUPELLO MARACANA JOGOS DE LOTERIA LTDA M,475,R. SAO FRANCISCO XAVIER,20550010,RIO DE JANEIRO,2284-5091,undefined,21"
",-22.928,-43.17713889,D K W LOT ESPORTIVA,410,R ARTHUR BERNARDES 14,22220070,RIO DE JANEIRO,2285-4176,undefined,21"
",-23.00686111,-43.43925,DADO MANIA,15801,Av das Americas,22790702,RIO DE JANEIRO,2439-4251,undefined,21"
",-22.9045,-43.17791667,DALGUS M ELETRICO,375,R SETE DE SETEMBRO,20050002,RIO DE JANEIRO,2252-4294,undefined,21"
",-22.90411111,-43.29558333,DIAS DA CRUZ,494,RUA DIAS DA CRUZ,20720013,RIO DE JANEIRO,3593-0269,undefined,21"
",-22.71888889,-43.45416667,DIJAS LOTERIA LTDA,17743,AV GLICINIA,undefined,23016620,RIO DE JANEIRO,3155-3790,undefined,21"
",undefined,DITARI SERVICOS LOTERICOS E EMP LTDA,24897,RUA DA QUITANDA,20011030,RIO DE JANEIRO,99924-9001,undefined,21"
",-22.90277778,-43.2075,DOZE DE JULHO,17571,RUA ALCINDO GUANABARA,20031130,RIO DE JANEIRO,2531-1411,undefined,21"
",-22.91333333,-43.16669444,DUMONT LOTERIA,24674,PRACA SENADOR SALGADO FILHO,20021340,RIO DE JANEIRO,2533-2631,undefined,21"
",-22.79888889,-43.19694444,DUPLA LOTERIAS,460,ESTR GOVERNADOR CHAGAS FREITAS,21920330,RIO DE JANEIRO,3393-1234,undefined,21"
",-22.90861111,-43.175,EDELMAN LOTERIA,2364,R. MEXICO,20031142,RIO DE JANEIRO,2240-7528,undefined,21"
",-22.90277778,-43.2075,ENCONTRO C/ A FORTUNA,366,AV NUTA JAMES,22640030,RIO DE JANEIRO,3553-3126,undefined,21"
